,CAPE,CAPE_Tv,CIN,CIN_Tv,Date,Station,Time
82,0.0,0.0,0.0,0.0,1992-01-01,WAL,12
83,0.0,0.0,0.0,0.0,1992-01-01,WMW,12
84,0.0,0.0,0.0,0.0,1992-01-01,WPL,12
85,0.0,0.0,0.0,0.0,1992-01-01,YMO,12
86,0.0,0.0,0.0,0.0,1992-01-01,YQI,12
87,0.0,0.0,-25.283122819166717,-20.599219161153126,1992-01-02,ABQ,0
88,0.0,0.0,0.0,0.0,1992-01-02,ALB,0
89,0.20270098707762968,7.427960243541656,-0.005830945727113058,0.0,1992-01-02,AMA,0
90,0.0,0.0,0.0,0.0,1992-01-02,BIS,0
91,0.0,0.0,0.0,0.0,1992-01-02,BNA,0
92,0.0,0.0,-24.11050154704183,-17.661176384325845,1992-01-02,BOI,0
93,420.66786248029496,643.1384529764617,-2.9735693468913333,0.0,1992-01-02,BRO,0
94,0.0,0.0,0.0,0.0,1992-01-02,BUF,0
95,0.0,0.0,0.0,0.0,1992-01-02,CAR,0
96,0.0,0.0,-23.6055755223157,-22.427268881458605,1992-01-02,CHH,0
97,0.0,0.0,0.0,0.0,1992-01-02,CHS,0
98,0.0,0.0,0.0,0.0,1992-01-02,CRP,0
99,0.0,0.0,0.0,0.0,1992-01-02,DDC,0
100,0.0,0.0,-148.44970493573857,-134.37624677686375,1992-01-02,DNR,0
101,2.426568073881401,11.87370179647833,-32.825407089965886,0.0,1992-01-02,DRT,0
102,0.0,0.0,0.0,0.0,1992-01-02,GGW,0
103,0.33104780254134375,0.0,0.0,0.0,1992-01-02,GJT,0
104,0.0,0.0,0.0,0.0,1992-01-02,GRB,0
105,0.0,0.0,0.0,0.0,1992-01-02,GSO,0
106,0.0,0.0,0.0,0.0,1992-01-02,IAD,0
107,0.0,0.0,-1.4337799491627259,0.0,1992-01-02,INL,0
108,0.0,0.0,0.0,0.0,1992-01-02,JAN,0
109,0.0,0.0,0.0,0.0,1992-01-02,LBF,0
110,0.0,0.0,0.0,0.0,1992-01-02,LCH,0
111,0.0,0.0,0.0,0.0,1992-01-02,LIX,0
112,0.0,0.0,-7.002535795115743,-3.353724579409364,1992-01-02,LZK,0
113,0.0,0.0,0.0,0.0,1992-01-02,MAF,0
114,0.0,0.0,0.0,0.0,1992-01-02,MFR,0
115,0.0,0.0,-91.89127773689214,-82.70622228552335,1992-01-02,NKX,0
116,0.0,0.0,0.0,0.0,1992-01-02,OAK,0
117,0.0,0.0,0.0,0.0,1992-01-02,OUN,0
118,0.0,0.0,0.0,0.0,1992-01-02,PIT,0
119,0.0,0.0,0.0,0.0,1992-01-02,RAP,0
120,0.0,0.0,0.0,0.0,1992-01-02,SLC,0
121,0.17795916410389545,0.7092914518972128,-237.53008480414042,-62.92187078298445,1992-01-02,TBW,0
122,0.0,0.0,0.0,0.0,1992-01-02,TLH,0
123,0.0,0.0,0.0,0.0,1992-01-02,TOP,0
124,0.0,0.0,0.0,0.0,1992-01-02,TUS,0
125,0.0,0.0,0.0,0.0,1992-01-02,UIL,0
126,0.0,0.0,0.0,0.0,1992-01-02,WAL,0
127,0.0,0.0,0.0,0.0,1992-01-02,WMW,0
128,0.0,0.0,0.0,0.0,1992-01-02,WPL,0
129,0.0,0.0,0.0,0.0,1992-01-02,YMO,0
130,0.0,0.0,0.0,0.0,1992-01-02,YQI,0
131,0.0,0.0,0.0,0.0,1992-01-02,ABQ,12
132,0.0,0.0,0.0,0.0,1992-01-02,ALB,12
133,0.0,0.0,-11.746975236566568,-10.868265868434033,1992-01-02,BIS,12
134,0.0,0.0,-1.1123298955243621,0.0,1992-01-02,BNA,12
135,0.0,0.0,-1.7409114456823995,-0.9097911323773746,1992-01-02,BOI,12
136,0.0,0.0,0.0,0.0,1992-01-02,BRO,12
137,0.0,0.0,0.0,0.0,1992-01-02,BUF,12
138,0.0,0.0,0.0,0.0,1992-01-02,CAR,12
139,0.0,0.0,-30.66781796066385,-25.05980364414816,1992-01-02,CHH,12
140,0.0,0.0,-6.797030473935151,-0.639957671981918,1992-01-02,CHS,12
141,0.0,0.0,0.0,0.0,1992-01-02,CRP,12
142,0.0,0.0,0.0,0.0,1992-01-02,DDC,12
143,0.0,0.0,0.0,0.0,1992-01-02,DNR,12
144,0.0,0.0,0.0,0.0,1992-01-02,DRT,12
145,0.0,0.0,0.0,0.0,1992-01-02,GGW,12
146,0.0,0.0,0.0,0.0,1992-01-02,GJT,12
147,0.0,0.0,0.0,0.0,1992-01-02,GRB,12
148,0.0,0.0,0.0,0.0,1992-01-02,GSO,12
149,0.0,0.0,-17.611307807306485,-12.404885866104555,1992-01-02,IAD,12
150,0.0,0.0,0.0,0.0,1992-01-02,INL,12
151,0.0,0.0,0.0,0.0,1992-01-02,JAN,12
152,0.0,0.0,-17.298677335787964,-15.484862553819863,1992-01-02,LBF,12
153,0.0,0.0,0.0,0.0,1992-01-02,LCH,12
154,0.0,0.0,0.0,0.0,1992-01-02,LIX,12
155,0.0,0.0,0.0,0.0,1992-01-02,LZK,12
